country_code,region,year,education_expenditure_gdp,student_teacher_ratio_primary,primary_completion_rate,school_life_expectancy,gender_ratio_primary,gender_ratio_secondary,gender_ratio_tertiary,gni_per_capita,public_expenditure_per_student,total_population,life_expectancy,fertility_rate,free_education_years,inbound_mobility_rate,outbound_mobility_rate
AZ,Asia,2018,2.45543003082275,41164.0,100.219947814941,13.30998,1.00546002388,1.00118005275726,1.13452005386353,4080.0,,9939771.0,73.016,1.73,11.0,2.340869903564453,22.0265007019043
AZ,Asia,2019,3.1764600276947,40946.0,100.383338928223,13.47167,1.03080999851227,0.997759997844696,1.14713001251221,4510.0,,10024283.0,73.29,1.81,11.0,2.227420091629028,20.24628067016602
AZ,Asia,2020,4.33204984664917,40160.0,98.5337295532227,,1.04425001144409,0.980109989643097,1.13840997219086,4480.0,,10093121.0,70.312,1.7,11.0,2.360359907150269,18.04237937927246
AZ,Asia,2021,3.7020800113678,40270.0,96.5635528564453,,1.01040995121002,0.983489990234375,1.15790998935699,4910.0,,10137750.0,70.999,1.52,11.0,2.277299880981445,17.72281074523926
AZ,Asia,2022,3.04690003395081,39926.0,99.7032775878906,,,,1.16182994842529,5670.0,,10141756.0,74.125,1.67,11.0,2.391949892044067,18.62885093688965
BA,Europe,2013,,9505.0,76.28125,,,,1.2251900434494,5170.0,,3610859.0,77.129,1.278,9.0,6.482719898223877,9.56056022644043
BA,Europe,2014,3.31473970413208,9573.0,84.5116500854492,,,,1.24599003791809,5180.0,,3564829.0,77.089,1.262,9.0,7.276060104370117,9.365090370178224
BA,Europe,2015,3.01811289787292,9475.0,91.679443359375,,,,1.25629997253418,5140.0,,3518541.0,77.073,1.322,9.0,7.472690105438232,10.21195983886719
BA,Europe,2016,4.26451015472412,9346.0,90.8496475219727,,,,1.26592004299164,5070.0,,3473003.0,77.124,1.36,9.0,7.300769805908203,11.41310024261475
BA,Europe,2017,2.83868432044983,9389.0,90.4990997314453,,,,1.28409004211426,5070.0,,3428682.0,77.385,1.419,9.0,7.116169929504395,15.09850978851318
BA,Europe,2018,3.89297008514404,9416.0,88.4528198242188,,,,1.29551994800568,5720.0,,3387000.0,77.942,1.504,9.0,7.444660186767578,16.18888092041016
BA,Europe,2019,4.04449987411499,9415.0,91.3700790405273,,,,1.33153998851776,6180.0,,3345533.0,77.394,1.509,9.0,7.115570068359375,16.93939018249512
BA,Europe,2020,3.01954078674316,9443.0,90.1913833618164,,,,1.34396004676819,6160.0,,3299349.0,76.04,1.515,9.0,6.578299999237061,18.33002090454102
BA,Europe,2021,4.13622999191284,9457.0,88.8229522705078,,,,1.35613000392914,6970.0,,3244907.0,74.567,1.49,9.0,6.648220062255859,18.20609092712402
BA,Europe,2022,,9353.0,87.0107116699219,,,,1.37272000312805,7710.0,,3204802.0,76.777,1.481,9.0,7.190330028533936,19.18997001647949
BD,Asia,2013,1.96616005897522,,,,,1.07561135292053,0.725370764732361,1010.0,,156532141.0,69.487,2.247,,,
BD,Asia,2014,2.09871673583984,,,,,,0.730934500694275,1080.0,,157964929.0,70.016,2.228,,,2.571619987487793
BD,Asia,2015,1.87225413322449,527798.0,,,,1.11307096481323,0.706751465797424,1200.0,,159383179.0,70.543,2.227,,,
BD,Asia,2016,2.22119998931885,548201.0,,,,1.10351002216339,0.688871502876282,1400.0,,160811932.0,71.075,2.227,5.0,,2.309989929199219
BD,Asia,2017,1.85040032863617,574001.0,,11.59809,1.05962836742401,1.14451086521149,0.693154454231262,1640.0,,162186147.0,71.606,2.205,5.0,,2.103650093078613
BD,Asia,2018,1.65589129924774,576887.0,,12.03569,1.06951701641083,1.13948059082031,0.696557700634003,2020.0,,163523103.0,72.122,2.193,5.0,,1.597599983215332
BD,Asia,2019,1.68138802051544,354722.0,,,,1.1429044008255,0.707598268985748,2220.0,,164913055.0,72.625,2.18,5.0,,1.205479979515076
BD,Asia,2020,1.76528060436249,367480.0,,,1.09301996231079,1.17106783390045,0.799525856971741,2320.0,,166298024.0,71.421,2.175,5.0,,1.42235004901886
BD,Asia,2021,1.83117997646332,359095.0,120.082885742188,,1.01849806308746,1.24441254138947,0.820630013942719,2600.0,,167658854.0,71.103,2.173,5.0,,
BD,Asia,2022,1.71183669567108,362709.0,107.697937011719,,,,0.841063141822815,2850.0,,169384897.0,74.265,2.179,5.0,0.0598299987614155,1.677049994468689
BE,Europe,2013,6.63052988052368,68576.0,,19.41551,1.00129997730255,1.13604998588562,1.23296999931335,47820.0,22.5828,11159407.0,80.5878048780488,1.76,12.0,9.97935962677002,2.592010021209717
BE,Europe,2014,6.59046983718872,68826.0,,19.69639,0.999710023403168,1.13396000862122,1.23636996746063,47850.0,22.22876,11209057.0,81.2878048780488,1.74,12.0,11.19476985931396,2.602030038833618
BE,Europe,2015,6.4515700340271,69681.0,,19.76292,0.998300015926361,1.13689994812012,1.23844003677368,45650.0,22.03343,11274196.0,80.9926829268293,1.7,12.0,11.1844596862793,2.678800106048584
BE,Europe,2016,6.46173000335693,70530.0,,19.69991,0.998860001564026,1.11991000175476,1.24030005931854,43430.0,21.87767,11331422.0,81.4390243902439,1.68,12.0,12.021559715271,2.785700082778931
BE,Europe,2017,6.42534017562866,72269.0,,19.77438,1.00099003314972,1.12066996097565,1.240110039711,42480.0,,11375158.0,81.4926829268293,1.65,12.0,8.538610458374023,2.854180097579956
BE,Europe,2018,6.38107013702393,73029.0,,19.56102,1.00478005409241,1.12371003627777,1.2364000082016,45980.0,,11427054.0,81.5951219512195,1.62,12.0,10.45448017120361,3.08024001121521
BE,Europe,2019,6.33397006988525,73859.0,,,1.01092004776001,1.12826001644135,1.25319004058838,48050.0,,11488980.0,81.9951219512195,1.6,12.0,10.04271984100342,3.194380044937134
BE,Europe,2020,6.80185985565186,75367.0,,,1.01420998573303,1.13031005859375,1.25312995910645,46090.0,,11538604.0,80.6951219512195,1.55,12.0,10.52472972869873,3.295259952545166
BE,Europe,2021,6.35551977157593,,,,,,1.26310002803802,51210.0,,11586195.0,81.790243902439,1.6,12.0,9.830730438232422,3.16769003868103
BE,Europe,2022,,79534.0,,,,,1.26654005050659,53680.0,,11680210.0,81.7487804878049,1.53,12.0,10.14690971374512,3.195719957351685
BF,Africa,2013,4.08343982696533,53505.0,61.3418502807617,7.72632,0.967260003089905,0.846459984779358,0.486699998378754,750.0,19.01221,17695409.0,57.903,5.697,10.0,2.899990081787109,5.982749938964844
BF,Africa,2014,4.05329990386963,58294.0,59.9809112548828,7.86708,0.974290013313293,0.873290002346039,0.479420006275177,730.0,20.22056,18229461.0,58.331,5.595,10.0,1.445019960403442,6.185269832611084
BF,Africa,2015,3.67008996009827,64177.0,60.7178802490234,8.25893,0.974439978599548,0.921689987182617,0.515519976615906,680.0,16.13029,18777487.0,58.778,5.478,10.0,2.758440017700195,6.50738000869751
BF,Africa,2016,,69148.0,60.3090896606445,8.52559,0.978280007839203,0.950999975204468,0.504980027675629,650.0,,19334856.0,59.173,5.331,10.0,2.97271990776062,6.068570137023926
BF,Africa,2017,5.62846994400024,74747.0,61.645149230957,8.90648,0.984899997711182,0.972750008106232,0.514310002326965,650.0,,19894407.0,59.578,5.17,10.0,3.114680051803589,5.84846019744873
BF,Africa,2018,5.488609790802,80713.0,62.8463706970215,9.27373,0.983500003814697,1.0009800195694,0.574620008468628,730.0,,20438288.0,59.972,4.921,10.0,2.716500043869019,5.605649948120117
BF,Africa,2019,5.40713691711426,82083.0,61.8211288452148,9.26204,0.994759976863861,1.03302001953125,0.554629981517792,750.0,,20961952.0,60.184,4.681,10.0,2.278810024261475,5.312129974365234
BF,Africa,2020,5.15086507797241,87304.0,62.0456809997559,,1.00919997692108,1.06068003177643,0.546069979667664,780.0,,21478690.0,60.454,4.44,10.0,2.052809953689575,5.032199859619141
BF,Africa,2021,5.22401523590088,92911.0,63.8423805236816,,1.01706540584564,1.10512316226959,0.589250028133392,830.0,,21995243.0,60.046,4.361,10.0,1.905709981918335,4.244919776916504
BF,Africa,2022,5.27651214599609,88222.0,58.3837013244629,,,,0.624419987201691,860.0,,22509038.0,60.7,4.275,10.0,1.762320041656494,4.109990119934082
BG,Europe,2013,4.05766010284424,14388.0,100.799560546875,14.90899,0.991360008716583,0.955229997634888,1.21872997283936,7600.0,22.99728,7265115.0,74.8609756097561,1.54,12.0,4.082980155944824,8.761650085449219
BG,Europe,2014,4.07005310058594,14596.0,98.9775390625,15.08737,0.992529988288879,0.965780019760132,1.20638000965118,7690.0,,7223938.0,74.4658536585366,1.62,12.0,3.982439994812012,8.654529571533203
BG,Europe,2015,3.91208434104919,,99.57666015625,14.94668,0.989920020103455,0.96806001663208,1.21614003181458,7420.0,,7177991.0,74.6146341463415,1.64,12.0,4.245880126953125,8.723750114440918
BG,Europe,2016,3.39370822906494,14876.0,98.1427536010742,14.64491,0.989430010318756,0.969309985637665,1.19295001029968,7380.0,,7127822.0,74.8121951219512,1.67,12.0,4.574679851531982,9.046839714050291
BG,Europe,2017,4.07755994796753,17393.0,98.9449234008789,14.41442,0.993889987468719,0.973469972610474,1.1881799697876,7600.0,,7075947.0,74.8146341463415,1.71,12.0,5.499790191650391,10.03806018829346
BG,Europe,2018,4.04709005355835,19225.0,97.0378875732422,14.19588,0.99440997838974,0.967760026454926,1.18245995044708,8490.0,,7025037.0,74.9634146341464,1.73,12.0,6.412509918212891,10.61143970489502
BG,Europe,2019,4.19902992248535,20668.0,97.1262664794922,,0.992929995059967,0.981689989566803,1.19164001941681,9440.0,,6975761.0,75.1121951219512,1.79,12.0,7.190229892730713,10.80706024169922
BG,Europe,2020,4.50513982772827,22340.0,97.7003631591797,,0.994620025157928,0.978070020675659,1.19024002552032,9550.0,,6934015.0,73.3560975609756,1.77,12.0,7.755680084228516,11.2378396987915
BG,Europe,2021,4.73032999038696,22885.0,94.2598114013672,,,,1.20510005950928,11100.0,,6877743.0,71.2121951219512,1.8,12.0,8.007120132446289,11.30111026763916
BG,Europe,2022,,23200.0,95.7139129638672,,,,1.23277997970581,12770.0,,6643324.0,74.1609756097561,1.78,12.0,8.442119598388672,8.88344955444336
BH,Asia,2013,2.47689008712769,8413.0,104.098808288574,13.52022,1.01669001579285,1.01188004016876,1.54660999774933,25970.0,10.47755,1253191.0,79.998,2.166,12.0,,12.48373031616211
BH,Asia,2014,2.46745991706848,8896.0,103.785026550293,13.68833,1.01229000091553,1.00560998916626,1.481330037117,25480.0,10.32071,1314562.0,80.214,2.149,12.0,13.22120952606201,13.23270988464355
BH,Asia,2015,2.66808009147644,9219.0,99.3720779418945,15.99202,1.00990998744965,0.993110001087189,1.47256994247437,23640.0,11.16362,1370322.0,80.338,2.113,12.0,13.87368011474609,13.99285984039307
BH,Asia,2016,2.80248284339905,9303.0,100.38671875,16.34917,1.02083003520966,1.0081399679184,1.48371994495392,22720.0,,1423726.0,80.407,2.042,12.0,12.60910987854004,14.28841972351074
BH,Asia,2017,2.32781004905701,9332.0,99.9090576171875,16.41513,0.995800018310547,1.03585994243622,1.50012004375458,22360.0,,1501116.0,80.407,1.984,12.0,13.1469898223877,13.81322956085205
BH,Asia,2018,2.38893985748291,9551.0,98.9089508056641,16.25482,0.98786997795105,1.0613499879837,1.49379003047943,24200.0,,1503091.0,80.412,1.911,12.0,13.44013977050781,12.96032047271729
BH,Asia,2019,2.38460445404053,9460.0,99.6566772460938,16.29756,0.994170010089874,1.08899998664856,1.47005999088287,25800.0,,1483756.0,80.471,1.843,12.0,14.15040016174316,11.16156959533691
BH,Asia,2020,2.55237460136414,9112.0,,,,,1.45571994781494,23870.0,,1472204.0,78.683,1.86,12.0,12.75623035430908,10.91063976287842
BH,Asia,2021,2.22135806083679,,,,,,1.37847995758057,25240.0,,1504365.0,78.083,1.852,12.0,11.66094017028809,10.13039970397949
BH,Asia,2022,1.98779726028442,8683.0,92.9442291259766,,,,1.32669997215271,28310.0,,1524693.0,80.992,1.839,12.0,10.57458019256592,9.052490234375
BI,Africa,2013,5.99539995193481,44662.0,71.30126953125,11.06155,1.01944994926453,0.811450004577637,0.447315812110901,240.0,12.92904,10439341.0,59.179,5.889,,8.045479774475098,6.483170032501221
BI,Africa,2014,7.51637983322144,46887.0,69.089469909668,11.37755,1.03279995918274,0.874430000782013,0.323280185461044,240.0,,10799785.0,59.764,5.794,,,5.656529903411865
BI,Africa,2015,7.10290956497192,47949.0,62.0943412780762,11.52796,1.02955996990204,0.936649978160858,0.33047553896904,240.0,,11047580.0,60.107,5.695,,3.217180013656616,5.004010200500488
BI,Africa,2016,4.96585083007812,42497.0,64.0318298339844,11.48011,1.02292001247406,0.994859993457794,0.493762493133545,240.0,,11239451.0,60.789,5.587,,3.571619987487793,7.617400169372559
BI,Africa,2017,5.00918865203857,42854.0,63.2770881652832,10.93011,1.01498997211456,1.04894995689392,0.531662583351135,240.0,,11506762.0,61.345,5.481,,4.454140186309814,7.822539806365967
BI,Africa,2018,5.4135274887085,51051.0,57.2230911254883,10.77537,1.01250004768372,1.11448001861572,0.614237904548645,230.0,,11859446.0,61.806,5.38,,4.767250061035156,8.651860237121582
BI,Africa,2019,5.34668445587158,51545.0,53.330379486084,,1.01482999324799,1.15231001377106,0.639785766601562,220.0,,12255336.0,62.18,5.271,,,
BI,Africa,2020,5.32158517837524,51921.0,49.1959190368652,,1.01317000389099,1.21476995944977,0.710277795791626,210.0,,12617036.0,62.569,5.177,,,
BI,Africa,2021,4.87114191055298,,,,,,0.776610434055328,220.0,,12965481.0,62.101,5.078,,,
BI,Africa,2022,4.82104730606079,,,,,,,230.0,,13321097.0,62.882,4.98,,,
BJ,Africa,2013,3.3275101184845,47201.0,76.898193359375,12.55958,0.915210008621216,0.670080006122589,0.383980005979538,1140.0,11.04903,10708834.0,58.863,5.41,6.0,,3.635550022125244
BJ,Africa,2014,3.161789894104,46454.0,77.3113479614258,12.56749,0.92426997423172,0.689710021018982,0.368950009346008,1180.0,10.19757,11030004.0,59.008,5.374,6.0,6.866650104522705,3.940239906311035
BJ,Africa,2015,3.17298007011414,49688.0,78.0327072143555,12.80451,0.930239975452423,0.714070022106171,0.406080007553101,1100.0,10.25321,11360681.0,59.123,5.32,6.0,7.892670154571533,4.851739883422852
BJ,Africa,2016,2.89910006523132,54463.0,77.419189453125,12.61455,0.936269998550415,0.75559002161026,0.424789994955063,1040.0,,11697842.0,59.283,5.254,6.0,8.877670288085938,5.353549957275391
BJ,Africa,2017,3.53558993339539,51677.0,,,0.935029983520508,,0.443650007247925,1020.0,,12039780.0,59.528,5.155,6.0,7.027369976043701,5.891930103302002
BJ,Africa,2018,2.93161988258362,56738.0,,,0.937330007553101,,0.472009986639023,1120.0,,12383347.0,59.71,5.031,6.0,4.504300117492676,5.781290054321289
BJ,Africa,2019,2.96520113945007,53341.0,61.7928314208984,,0.929679989814758,,0.482840001583099,1170.0,,12726755.0,59.888,4.9,6.0,3.1494300365448,6.500319957733154
BJ,Africa,2020,3.09441518783569,57002.0,60.2596817016602,,0.925499975681305,0.809300005435944,0.519410014152527,1190.0,,13070169.0,60.154,4.795,6.0,2.966109991073608,7.011640071868896
BJ,Africa,2021,3.20348429679871,58524.0,70.7910232543945,,0.925650000572205,0.831520020961761,0.562979996204376,1280.0,,13413417.0,59.61,4.707,6.0,3.108890056610107,7.783909797668457
BJ,Africa,2022,3.37785911560059,59742.0,64.5733337402344,,,,0.591799974441528,1350.0,,13759501.0,60.475,4.634,6.0,3.086889982223511,7.930240154266357
BN,Asia,2013,,4146.0,103.92212677002,14.93539,0.99665355682373,1.03752994537354,1.46237003803253,44580.0,,411202.0,74.854,1.978,0.0,,40.05018997192383
BN,Asia,2014,3.35318994522095,4004.0,97.846061706543,14.87515,1.00075507164001,1.0171400308609,1.41773998737335,42370.0,,416750.0,74.862,1.969,0.0,3.188100099563599,30.82835006713867
BN,Asia,2015,,4033.0,99.8243560791016,14.62773,0.996651291847229,1.00053691864014,1.39970004558563,38180.0,,422212.0,74.88,1.947,0.0,4.868400096893311,31.80273056030273
BN,Asia,2016,4.42540979385376,3969.0,104.244506835938,14.59231,0.998992621898651,1.02679002285004,1.37410998344421,32570.0,8.87354,427564.0,74.905,1.915,0.0,3.16985011100769,32.00693130493164
