country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
MLI,2016,12.0,,,Africa
MLI,2017,12.0,,,Africa
MLI,2018,12.0,,,Africa
MLI,2019,12.0,,,Africa
MLI,2020,12.0,,,Africa
MLI,2021,12.0,,,Africa
MLI,2022,12.0,,,Africa
MOZ,2013,,0.2840699851512909,1.455410003662109,Africa
MOZ,2014,,0.3696900010108948,1.355029940605164,Africa
MOZ,2015,,,1.452229976654053,Africa
MOZ,2016,,0.3805899918079376,1.39848005771637,Africa
MOZ,2017,,0.294050008058548,1.508090019226074,Africa
MOZ,2018,,0.3594599962234497,1.482869982719421,Africa
MRT,2013,13.0,,21.39512062072754,Africa
MRT,2014,13.0,,,Africa
MRT,2015,13.0,1.360579967498779,23.71784973144531,Africa
MRT,2016,13.0,2.036489963531494,24.51914024353027,Africa
MRT,2017,13.0,1.440299987792969,25.33826065063477,Africa
MRT,2018,13.0,,27.46533966064453,Africa
MRT,2019,13.0,1.451939940452576,23.9155101776123,Africa
MRT,2020,13.0,1.448210000991821,25.03487968444824,Africa
MRT,2021,13.0,,,Africa
MRT,2022,13.0,,,Africa
MUS,2013,13.0,2.868740081787109,17.41941070556641,Africa
MUS,2014,13.0,3.821340084075928,18.30956077575684,Africa
MUS,2015,13.0,4.024189949035645,19.72522926330566,Africa
MUS,2016,13.0,4.547120094299316,20.18210983276367,Africa
MUS,2017,13.0,5.371940135955811,22.19860076904297,Africa
MUS,2018,13.0,,20.23288917541504,Africa
MUS,2019,13.0,,19.09972953796387,Africa
MUS,2020,13.0,6.711540222167969,18.39059066772461,Africa
MUS,2021,13.0,6.71081018447876,15.88249015808105,Africa
MUS,2022,13.0,7.052120208740234,14.09259986877441,Africa
MWI,2013,8.0,,,Africa
MWI,2014,8.0,,,Africa
MWI,2015,8.0,,,Africa
MWI,2016,8.0,,,Africa
MWI,2017,8.0,,,Africa
MWI,2018,8.0,,,Africa
MWI,2019,8.0,,,Africa
MWI,2020,8.0,,,Africa
MWI,2021,8.0,,,Africa
MWI,2022,8.0,,,Africa
NAM,2013,7.0,,,Africa
NAM,2014,7.0,8.757960319519043,10.12808036804199,Africa
NAM,2015,7.0,8.561129570007324,10.68867015838623,Africa
NAM,2016,7.0,7.064720153808594,9.843350410461426,Africa
NAM,2017,7.0,6.105700016021729,9.128009796142578,Africa
NAM,2018,7.0,4.76117992401123,9.252670288085938,Africa
